commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001493,동대문패션타운 관광특구,KOREAN_FOOD,SATURDAY,12,3656911,455065,156,2917.0833,3336.8912,87.42,-3
3001493,동대문패션타운 관광특구,KOREAN_FOOD,SUNDAY,12,3656911,371916,157,2368.8917,3336.8912,70.99,-6
3001493,동대문패션타운 관광특구,CHINESE_FOOD,MONDAY,12,181234,29529,157,188.0828,165.3724,113.73,3
3001493,동대문패션타운 관광특구,CHINESE_FOOD,TUESDAY,12,181234,30345,157,193.2803,165.3724,116.88,3
3001493,동대문패션타운 관광특구,CHINESE_FOOD,WEDNESDAY,12,181234,30732,157,195.7452,165.3724,118.37,4
3001493,동대문패션타운 관광특구,CHINESE_FOOD,THURSDAY,12,181234,31045,156,199.0064,165.3724,120.34,4
3001493,동대문패션타운 관광특구,CHINESE_FOOD,FRIDAY,12,181234,29656,156,190.1026,165.3724,114.95,3
3001493,동대문패션타운 관광특구,CHINESE_FOOD,SATURDAY,12,181234,18900,156,121.1538,165.3724,73.26,-5
3001493,동대문패션타운 관광특구,CHINESE_FOOD,SUNDAY,12,181234,11027,157,70.2357,165.3724,42.47,-6
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,MONDAY,12,128922,12513,157,79.7006,117.7331,67.7,-6
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,TUESDAY,12,128922,22037,157,140.3631,117.7331,119.22,4
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,WEDNESDAY,12,128922,21569,157,137.3822,117.7331,116.69,3
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,THURSDAY,12,128922,21871,156,140.1987,117.7331,119.08,4
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,FRIDAY,12,128922,25382,156,162.7051,117.7331,138.2,6
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,SATURDAY,12,128922,25550,156,163.7821,117.7331,139.11,6
3001493,동대문패션타운 관광특구,JAPANESE_FOOD,SUNDAY,12,128922,0,157,0.0,117.7331,0.0,-6
3001493,동대문패션타운 관광특구,WESTERN_FOOD,MONDAY,12,889084,97314,157,619.8344,811.4093,76.39,-5
3001493,동대문패션타운 관광특구,WESTERN_FOOD,TUESDAY,12,889084,102617,157,653.6115,811.4093,80.55,-4
3001493,동대문패션타운 관광특구,WESTERN_FOOD,WEDNESDAY,12,889084,111022,157,707.1465,811.4093,87.15,-3
3001493,동대문패션타운 관광특구,WESTERN_FOOD,THURSDAY,12,889084,109819,156,703.9679,811.4093,86.76,-3
3001493,동대문패션타운 관광특구,WESTERN_FOOD,FRIDAY,12,889084,128407,156,823.1218,811.4093,101.44,0
3001493,동대문패션타운 관광특구,WESTERN_FOOD,SATURDAY,12,889084,175925,156,1127.7244,811.4093,138.98,6
3001493,동대문패션타운 관광특구,WESTERN_FOOD,SUNDAY,12,889084,163980,157,1044.4586,811.4093,128.72,6
3001493,동대문패션타운 관광특구,CHICKEN,MONDAY,12,28380,3201,157,20.3885,25.9018,78.71,-4
3001493,동대문패션타운 관광특구,CHICKEN,TUESDAY,12,28380,3842,157,24.4713,25.9018,94.48,-1
3001493,동대문패션타운 관광특구,CHICKEN,WEDNESDAY,12,28380,4177,157,26.6051,25.9018,102.72,1
