commercial_area_code,business_type,day_of_week,weight
3001496,KOREAN_FOOD,SATURDAY,-3
3001496,KOREAN_FOOD,SUNDAY,-4
3001496,CHINESE_FOOD,MONDAY,-2
3001496,CHINESE_FOOD,TUESDAY,-2
3001496,CHINESE_FOOD,WEDNESDAY,0
3001496,CHINESE_FOOD,THURSDAY,0
3001496,CHINESE_FOOD,FRIDAY,1
3001496,CHINESE_FOOD,SATURDAY,2
3001496,CHINESE_FOOD,SUNDAY,1
3001496,JAPANESE_FOOD,MONDAY,-2
3001496,JAPANESE_FOOD,TUESDAY,1
3001496,JAPANESE_FOOD,WEDNESDAY,3
3001496,JAPANESE_FOOD,THURSDAY,6
3001496,JAPANESE_FOOD,FRIDAY,5
3001496,JAPANESE_FOOD,SATURDAY,-5
3001496,JAPANESE_FOOD,SUNDAY,-6
3001496,WESTERN_FOOD,MONDAY,-3
3001496,WESTERN_FOOD,TUESDAY,-2
3001496,WESTERN_FOOD,WEDNESDAY,0
3001496,WESTERN_FOOD,THURSDAY,1
3001496,WESTERN_FOOD,FRIDAY,2
3001496,WESTERN_FOOD,SATURDAY,3
3001496,WESTERN_FOOD,SUNDAY,0
3001496,FAST_FOOD,MONDAY,-3
3001496,FAST_FOOD,TUESDAY,-2
3001496,FAST_FOOD,WEDNESDAY,0
3001496,FAST_FOOD,THURSDAY,2
3001496,FAST_FOOD,FRIDAY,3
3001496,FAST_FOOD,SATURDAY,1
3001496,FAST_FOOD,SUNDAY,-1
3001496,BUNSIK,MONDAY,-3
3001496,BUNSIK,TUESDAY,-2
3001496,BUNSIK,WEDNESDAY,-1
3001496,BUNSIK,THURSDAY,0
3001496,BUNSIK,FRIDAY,2
3001496,BUNSIK,SATURDAY,2
3001496,BUNSIK,SUNDAY,0
3001496,CAFE_BEVERAGE,MONDAY,-3
3001496,CAFE_BEVERAGE,TUESDAY,-1
3001496,CAFE_BEVERAGE,WEDNESDAY,0
3001496,CAFE_BEVERAGE,THURSDAY,1
3001496,CAFE_BEVERAGE,FRIDAY,2
3001496,CAFE_BEVERAGE,SATURDAY,2
3001496,CAFE_BEVERAGE,SUNDAY,0
3001496,BAKERY,MONDAY,-3
3001496,BAKERY,TUESDAY,-1
3001496,BAKERY,WEDNESDAY,0
3001496,BAKERY,THURSDAY,1
3001496,BAKERY,FRIDAY,2
3001496,BAKERY,SATURDAY,2
3001496,BAKERY,SUNDAY,-1
3110001,KOREAN_FOOD,MONDAY,-3
3110001,KOREAN_FOOD,TUESDAY,-2
3110001,KOREAN_FOOD,WEDNESDAY,2
3110001,KOREAN_FOOD,THURSDAY,0
3110001,KOREAN_FOOD,FRIDAY,1
3110001,KOREAN_FOOD,SATURDAY,6
3110001,KOREAN_FOOD,SUNDAY,-3
3110002,KOREAN_FOOD,MONDAY,3
3110002,KOREAN_FOOD,TUESDAY,2
3110002,KOREAN_FOOD,WEDNESDAY,2
3110002,KOREAN_FOOD,THURSDAY,3
